Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
242,Staten Island,San Joaquin Valley,1/21/2016,021,1.01, ,0.00, ,75, ,1.3, ,17.4, ,8.3, ,12.0, ,99, ,76, ,92, ,10.8, ,2.3, ,202.3, ,12.2, 
242,Staten Island,San Joaquin Valley,1/22/2016,022,0.30, ,8.60, ,28, ,1.3, ,14.3, ,11.2,Y,12.4, ,97, ,81, ,91, ,11.0, ,4.3, ,369.0, ,12.3, 
242,Staten Island,San Joaquin Valley,1/23/2016,023,1.44, ,2.70, ,100, ,1.2, ,15.3, ,9.2, ,11.7, ,97, ,73, ,86, ,9.5, ,4.1, ,351.6, ,12.4, 
242,Staten Island,San Joaquin Valley,1/24/2016,024,1.34, ,0.00, ,109, ,1.0, ,15.7, ,4.1, ,9.6, ,99, ,68, ,86, ,7.4, ,1.6, ,138.5, ,12.3, 
242,Staten Island,San Joaquin Valley,1/25/2016,025,1.65, ,0.00, ,118, ,1.1, ,17.2, ,7.1, ,10.9, ,99, ,64, ,88, ,9.0, ,2.2, ,188.6, ,12.1, 
242,Staten Island,San Joaquin Valley,1/26/2016,026,1.03, ,0.20, ,96, ,1.1, ,15.5, ,3.1, ,8.4, ,99, ,75, ,96, ,7.8, ,1.3, ,116.3, ,12.1, 
242,Staten Island,San Joaquin Valley,1/27/2016,027,1.64, ,0.10, ,124, ,1.1, ,20.0, ,4.7, ,10.2, ,99, ,60, ,88, ,8.3, ,1.3, ,109.9, ,12.0, 
242,Staten Island,San Joaquin Valley,1/28/2016,028,0.65, ,0.20, ,63, ,1.1, ,14.3, ,2.7, ,9.3, ,99, ,84, ,96, ,8.7, ,1.9, ,164.7, ,11.9, 
242,Staten Island,San Joaquin Valley,1/29/2016,029,0.43, ,10.50,R,35, ,1.5,Y,14.9, ,12.2,Y,13.8,Y,99, ,82, ,95,Y,13.0,Y,3.4, ,292.4, ,12.0, 
242,Staten Island,San Joaquin Valley,1/30/2016,030,1.82, ,0.00, ,122, ,1.1, ,16.2, ,9.4, ,12.0, ,96, ,55, ,79, ,8.5, ,2.9, ,247.1, ,12.2, 
242,Staten Island,San Joaquin Valley,1/31/2016,031,3.03, ,0.00, ,125, ,0.8, ,14.2, ,7.4, ,9.7, ,90, ,44, ,66, ,3.6, ,5.4,Y,463.8,Y,12.4, 
242,Staten Island,San Joaquin Valley,2/1/2016,032,3.46, ,0.00, ,156, ,0.6, ,14.0, ,2.1, ,7.7, ,95, ,37, ,55, ,-0.7, ,5.4,Y,468.3,Y,12.0, 
242,Staten Island,San Joaquin Valley,2/2/2016,033,0.76, ,0.90, ,71, ,0.8, ,11.1, ,2.4, ,6.4, ,99, ,66, ,86, ,4.2, ,2.6, ,228.4, ,11.5, 
242,Staten Island,San Joaquin Valley,2/3/2016,034,1.17, ,0.00, ,106, ,0.9, ,12.6, ,1.1, ,6.7, ,99, ,66, ,88, ,4.9, ,1.4, ,120.2, ,11.2, 
242,Staten Island,San Joaquin Valley,2/4/2016,035,2.04, ,0.00, ,146, ,1.0, ,15.9, ,3.2, ,9.0, ,99, ,62, ,85, ,6.6, ,2.8, ,240.5, ,11.1, 
242,Staten Island,San Joaquin Valley,2/5/2016,036,1.92, ,0.10, ,156, ,0.9, ,18.8, ,0.3, ,8.3, ,100, ,58, ,86, ,6.1, ,1.3, ,108.5, ,11.1, 
242,Staten Island,San Joaquin Valley,2/6/2016,037,2.17, ,0.00, ,159, ,1.0, ,20.1, ,1.3, ,9.5, ,100, ,52, ,83, ,6.8, ,1.6, ,138.4, ,11.1, 
242,Staten Island,San Joaquin Valley,2/7/2016,038,2.18, ,0.00, ,163, ,1.1, ,19.8, ,1.9, ,10.5, ,99, ,58, ,84, ,7.9, ,1.5, ,130.1, ,11.1, 
242,Staten Island,San Joaquin Valley,2/8/2016,039,2.40, ,0.10, ,168, ,1.1, ,25.0,R,2.3, ,11.9, ,100, ,43, ,80, ,8.6, ,1.3, ,112.0, ,11.3, 
242,Staten Island,San Joaquin Valley,2/9/2016,040,2.32, ,0.00, ,159, ,1.2, ,24.1,Y,3.9, ,12.6, ,99, ,48, ,83, ,9.7, ,1.4, ,119.8, ,11.4, 
242,Staten Island,San Joaquin Valley,2/10/2016,041,1.94, ,0.10, ,137, ,1.2, ,23.3,Y,4.0, ,11.9, ,100, ,50, ,85, ,9.5, ,1.5, ,130.6, ,11.6, 
242,Staten Island,San Joaquin Valley,2/11/2016,042,1.97, ,0.10, ,142, ,1.2, ,23.5,Y,4.4, ,12.6, ,100, ,55, ,85, ,10.2, ,1.2, ,100.8, ,11.7, 
242,Staten Island,San Joaquin Valley,2/12/2016,043,2.26, ,0.10, ,158, ,1.3, ,23.6,Y,4.0, ,12.6, ,100, ,59, ,89, ,10.8, ,1.5, ,127.6, ,11.9, 
242,Staten Island,San Joaquin Valley,2/13/2016,044,3.03, ,0.10, ,178, ,1.2, ,23.6,Y,5.4, ,13.5, ,99, ,40, ,77, ,9.5, ,2.1, ,178.2, ,12.1, 
242,Staten Island,San Joaquin Valley,2/14/2016,045,3.34,R,0.00, ,145, ,1.2, ,23.8,Y,5.9, ,15.5,Y,99, ,49, ,70,Y,10.0,Y,3.8, ,326.2, ,12.3, 
242,Staten Island,San Joaquin Valley,2/15/2016,046,2.62, ,0.00, ,181, ,1.3, ,26.0,R,4.6, ,14.3, ,100, ,51, ,80, ,10.8, ,1.2, ,104.0, ,12.5, 
242,Staten Island,San Joaquin Valley,2/16/2016,047,2.64, ,0.10, ,176, ,1.4, ,24.2,Y,4.9, ,14.6,Y,100, ,57, ,82,Y,11.5,Y,1.3, ,113.0, ,12.7, 
242,Staten Island,San Joaquin Valley,2/17/2016,048,1.98, ,13.30, ,91, ,1.3, ,20.8, ,9.4, ,15.3,Y,98, ,59, ,76,Y,11.1,Y,4.4, ,376.1, ,13.0, 
242,Staten Island,San Joaquin Valley,2/18/2016,049,2.40, ,7.30, ,153, ,1.1, ,17.1, ,6.7, ,11.5, ,97, ,63, ,82, ,8.4, ,3.6, ,307.5, ,13.1, 
242,Staten Island,San Joaquin Valley,2/19/2016,050,2.04, ,0.00, ,134, ,1.1, ,18.4, ,3.2, ,10.5, ,99, ,55, ,85, ,8.1, ,2.7, ,237.2, ,12.9, 
242,Staten Island,San Joaquin Valley,2/20/2016,051,2.44, ,0.00, ,169, ,1.0, ,18.0, ,5.0, ,10.4, ,99, ,50, ,80, ,7.2, ,2.2, ,194.1, ,12.8, 
242,Staten Island,San Joaquin Valley,2/21/2016,052,2.79, ,0.10, ,196, ,1.0, ,20.9, ,2.2, ,10.2, ,99, ,50, ,82, ,7.3, ,1.7, ,144.2, ,12.7, 
242,Staten Island,San Joaquin Valley,2/22/2016,053,3.45, ,0.00, ,200, ,0.9, ,21.8, ,2.9, ,11.1, ,100, ,36, ,71, ,6.1, ,2.4, ,208.8, ,12.5, 
242,Staten Island,San Joaquin Valley,2/23/2016,054,2.88, ,0.00, ,200, ,0.9, ,23.2,Y,1.3, ,10.9, ,98, ,38, ,72, ,6.1, ,1.2, ,105.8, ,12.4, 
242,Staten Island,San Joaquin Valley,2/24/2016,055,2.85, ,0.10, ,193, ,1.1, ,24.4,Y,2.3, ,12.1, ,99, ,48, ,81, ,8.9, ,1.3, ,112.5, ,12.3, 
242,Staten Island,San Joaquin Valley,2/25/2016,056,2.86, ,0.00, ,191, ,1.2, ,25.4,Y,5.2, ,13.7, ,100, ,45, ,78, ,10.0, ,1.1, ,91.3, ,12.4, 
242,Staten Island,San Joaquin Valley,2/26/2016,057,2.56, ,0.00, ,166, ,1.3, ,21.8, ,5.9, ,13.6, ,99, ,59, ,83, ,10.8, ,2.2, ,191.1, ,12.5, 
242,Staten Island,San Joaquin Valley,2/27/2016,058,2.92, ,0.00, ,188, ,1.2, ,22.1, ,5.8, ,13.1, ,100, ,53, ,81, ,9.9, ,2.1, ,181.3, ,12.8, 
242,Staten Island,San Joaquin Valley,2/28/2016,059,1.84, ,0.00, ,134, ,1.2, ,20.0, ,5.3, ,11.9, ,99, ,60, ,88, ,10.0, ,1.5, ,132.6, ,12.9, 
242,Staten Island,San Joaquin Valley,2/29/2016,060,3.25, ,0.30, ,206, ,1.2, ,24.8,Y,4.2, ,13.6, ,100, ,43, ,76, ,9.5, ,1.5, ,131.4, ,12.9, 
242,Staten Island,San Joaquin Valley,3/1/2016,061,3.47, ,0.00, ,210, ,1.2, ,22.6, ,5.9, ,14.4, ,99, ,39, ,74, ,9.8, ,2.1, ,177.1, ,12.9, 
242,Staten Island,San Joaquin Valley,3/2/2016,062,2.42, ,0.00, ,167, ,1.4,Y,23.3, ,6.8, ,13.9, ,99, ,58, ,88,Y,11.9,Y,1.8, ,152.1, ,13.1, 
242,Staten Island,San Joaquin Valley,3/3/2016,063,1.42, ,0.00, ,112, ,1.5,Y,20.8, ,8.8, ,15.0, ,99, ,69, ,88,Y,13.0,Y,1.4, ,121.0, ,13.4, 
242,Staten Island,San Joaquin Valley,3/4/2016,064,0.83, ,15.50, ,78, ,1.7,R,19.9, ,11.7,Y,16.1, ,99, ,81, ,,R,,I,2.1, ,184.5, ,13.7, 
242,Staten Island,San Joaquin Valley,3/5/2016,065,0.57, ,41.30, ,55, ,1.7,R,18.7, ,11.7,Y,15.7, ,99, ,85, ,,R,,I,6.8,Y,589.4,Y,14.1, 
242,Staten Island,San Joaquin Valley,3/6/2016,066,1.89, ,14.60, ,128, ,1.2, ,16.7, ,7.2, ,12.4, ,98, ,63, ,81, ,9.2, ,3.4, ,295.2, ,14.4, 
242,Staten Island,San Joaquin Valley,3/7/2016,067,1.17, ,11.40, ,103, ,1.1, ,14.2, ,6.7, ,9.6, ,97, ,76, ,90, ,8.0, ,3.1, ,268.1, ,14.1, 
242,Staten Island,San Joaquin Valley,3/8/2016,068,1.91, ,0.00, ,148, ,1.0, ,15.7, ,3.1, ,10.1, ,95, ,60, ,80, ,6.8, ,1.8, ,155.1, ,13.6, 
242,Staten Island,San Joaquin Valley,3/9/2016,069,1.90, ,0.00, ,130, ,1.3, ,19.5, ,7.6, ,13.3, ,99, ,67, ,87, ,11.2, ,2.1, ,184.2, ,13.3, 
242,Staten Island,San Joaquin Valley,3/10/2016,070,0.25, ,7.80, ,41, ,1.5,Y,16.3, ,11.8, ,13.9, ,99, ,85, ,92,Y,12.7,Y,2.4, ,203.8, ,13.4, 
242,Staten Island,San Joaquin Valley,3/11/2016,071,0.76, ,12.40, ,61, ,1.2, ,15.0, ,10.0, ,11.7, ,99, ,71, ,90, ,10.2, ,4.0, ,349.3, ,13.6, 
242,Staten Island,San Joaquin Valley,3/12/2016,072,1.31, ,14.20, ,93, ,1.2, ,15.6, ,8.3, ,12.1, ,99, ,68, ,87, ,9.9, ,3.6, ,313.8, ,13.4, 
242,Staten Island,San Joaquin Valley,3/13/2016,073,0.49, ,28.90, ,58, ,1.4, ,14.4, ,10.7, ,12.5, ,99, ,89, ,95, ,11.8, ,6.0, ,517.8, ,13.3, 
